file_name,caption_1,caption_2,caption_3,caption_4,caption_5,caption_6,caption_7,caption_8,caption_9,caption_10
metalTunnel.wav,A very robotic synth modulates and reverberates within itself,An interesting instrument whose sound is going up and down.,The synth is reverberated at an rhythmic meter,it is like a iron rod cutting sound and it is a workshop,it is like an iron rod cutting sound and it is a workshop,"A robotic synth reverberates, creating a metallic echo within itself.",An intriguing instrument's pitch modulates rhythmically in an echoing pattern.,The sound of the synth reverberates with rhythmic precision and metallic texture.,"Like an iron rod cutting, the workshop resonates with rhythmic metallic echoes.","A synthetic sound reverberates rhythmically, resembling metalwork in a workshop environment."
Ambience Night crickets.wav,A serene bit of nightfall is met by crickets chirping,Crickets chirp in the background as a soft wind blows.,Crickets chirping outdoors at night with a gentle breeze blowing.,"In the calmness of nightfall, crickets are chirping.","While the wind softly blows, crickets chirp in the background.",The gentle breeze accompanies the peaceful sound of crickets at night.,Crickets chirp serenely as a light wind rustles through the air.,A tranquil evening is filled with the sounds of crickets and a soft wind.,Nighttime ambiance is enhanced by crickets chirping alongside a gentle breeze.,The quiet of night features crickets chirping while a soft wind flows.
Maria Hernandez Park September 1st.wav,A skateboarder is coasting on his board on a back and forth ramp as voices talk in the background.,A skateboarder rides his board up and down a ramp as people speak in the background.,People skateboard with some children who are faintly speaking.,Boards with small wheels are being ridden while children are quietly speaking.,People skateboard around at the park while chatting and laughing.,"Skateboarders glide on a ramp, with ambient chatter in the background.",A skateboarder maneuvers up and down a ramp amid distant voices.,Children skateboards are heard as soft speech echoes from afar.,Skateboarding at the park is accompanied by quiet conversations nearby.,Voices murmur softly while skaters use ramps at an outdoor venue.
Traffic Light.wav,A group of people is standing on the street near a busy freeway.,A group of people standing on the street near a busy freeway.,A detector device is operating and detecting nothing and then it registers some activity.,An electric machine is operating and detecting nothing and then it suddenly detects some activity.,Unidentified squeaking occurs several times while men talk in the background.,A crowd is gathered on a road adjacent to a bustling highway.,People are standing by a street close to an active freeway.,"An electronic device operates without detecting anything, then senses activity.",A machine runs undetected until it suddenly picks up some motion.,Squeaks happen repeatedly amidst background male conversations.
jettish.wav,"A sweeping swaying sound rising upward repeatedly, then going downward repeatedly.",A sweeping swishing sound becomes louder and fades repeatedly.,Heavily distorted siren sounds make them sound like spacecraft.,They sound like a spacecraft when their siren sounds are highly distorted.,fancy alarm or alert system that is constantly going off,"A repetitive swaying noise rises and falls, mimicking an upward and downward motion.",Swishing sounds intensify and then fade away in a cyclic pattern.,Siren noises are heavily distorted to resemble spacecraft alerts.,Distorted siren tones create the illusion of spacecraft signals.,"An ornate alert system produces continuous, intermittent alarms."
broken comms2.wav,A radio cycling through stations as it is being repaired.,A radio that is trying to be tuned and fixed.,A series of bleeps and bloops fire off randomly.,The computer is beeping as a voice recording drags .,Various computer noises go off as a voice call breaks up,A radio emitting random bleeps while being repaired.,Bleeps and bloops from a malfunctioning radio during tuning.,Erratic beeps as a voice recording plays on a faulty device.,Computer sounds intermingle with disrupted voice communication glitches.,Broken electronic noises blend with an interrupted voice call.
wind3.wav,Air is being forced through a small opening and almost making whistling noises.,The wind howled violently and shrilly then began to taper off.,The wind is blowing through the corn field very loudly.,The wind is heard whistling outside from inside.,Wind howls violently and shrilly then begins to taper off.,"A gusty, shrill whistle fills the air as the wind forces its way through tight spaces.",The fierce howl of wind outside gradually softens to a whispering murmur.,"Amidst the cornfield, the loud blowing wind creates an almost musical whistle.","Inside, one can distinctly hear the whistling winds swirling outside with great force.",A shrill whistle punctuates the air as gusty winds begin and then fade away.
Drinking Through Straw.wav,"A cold, icy drink is stirred and then sipped through a straw until it is gone.",A person is pouring a drink and then taking a sip.,A stone object rubs and hits against another object,A straw is moving and audible as it whirls around the bottom of the drain.,Someone is stirring a drink with ice cubes in it and starts drinking with a straw until empty.,"A person sips from a cold, icy beverage through a straw until finished.",Someone stirs and drinks an iced beverage using a straw.,An object rubs against another while a straw whirls in the drain.,"Through a straw, a drink is consumed after being stirred with ice.","A drink is poured, sipped, and swallowed entirely through a straw."
the swarm v31m3.wav,"A built up sound comprised of whining, chirping and other sounds that slowly dies off.","A built up sound comprised of whirring, chirping and other sounds that slowly dies off.",A noisy vacuum cleaner is used in a confined space.,A vacuum cleaner with noisy bearings being used in a confined space.,Cranking noises turn to a low screeching that rises in volume until it is extremely loud.,"Whining and chirping sounds gradually fade into silence, creating an eerie atmosphere.",A crescendo of whirring and chirping noises builds up before slowly diminishing.,The vacuum cleaner's loud hum fills the confined space with its noise.,Noisy bearings from a vacuum cleaner resonate in a small area.,"Screeching noises start low and escalate to an intense, overwhelming volume."
Giant 1.wav,"A person gurgling, while trying to ape speech patterns, with some soft, occasional metal clanking in the background.","A person gurgling, while trying to mimic speech patterns, with some soft, intermittent metal clanging in the background.",A person is making weird noises with his or her mouth.,A person is speaking and is hard to understand.,A person who has a hole in their neck is talking and they are hard to understand.,"Someone gargling while attempting to replicate speech, with occasional soft metallic sounds nearby.","A person making gurgling noises while mimicking speech patterns, accompanied by gentle metal clinks.",Unusual mouth sounds are produced by a person trying to form words.,Speech is unclear as someone talks in distorted tones.,A person with a neck device speaks indistinctly amidst background metallic noise.
dull metal.wav,A person is making noise by tapping their fingernails on a solid surface.,Metal prongs rapping insistently against the concrete ground.,Tapping two metal sticks together a few times a second.,Two metal objects tapping into each other a number of times.,Water is dripping from the faucet into the sink.,Rhythmic clinking of metal against hard surface produces a monotonous sound.,"Consistent metallic tapping on concrete generates a muted, repetitive noise.",Soft thudding created by striking two metal pieces together repeatedly.,Monotonous sound emerges as metal objects collide with each other frequently.,Subdued clanking reverberates from contact between metal and solid ground.
Small Chain Clanging.wav,A person crunches through dried leaves on the ground.,Aluminum candy papers are balled up in a hand.,Somebody balling up aluminum candy papers in their hand.,The chain of a necklace rattles inside a plastic cup.,a person is stepping on the ground full of dried leaves,"A person steps through dried leaves, creating a crunchy sound.",Aluminum candy wrappers are crumpled into small balls by someone's hand.,The metallic tinkle of a necklace chain echoes inside a cup.,Leaves crackle underfoot as they're crushed and walked upon.,Crinkling sounds arise from balled aluminum papers being handled carefully.
Hitting Tall Grass.wav,A person slowly clears high growth vegetation outdoors,It takes more force to weed and trim as time goes on.,Rocks are being thrown down on the ground.,Sand is being shoveled and dumped on the ground.,The sand that is being shoveled is being dumped on the nearby ground.,High growth vegetation is being cleared by a person outdoors.,Weeding and trimming require more effort over time.,Ground gets covered as rocks are thrown down.,Sand shoveling results in dumping on the ground.,Shovelled sand is deposited onto adjacent ground surfaces.
Thunder Storm Daytona 3.wav,A clap of thunder coupled with the running water.,The plants in the forest are being blown and thrashed by the winds.,The thunder begins to roar as the rain is drizzling.,The thunder begins to roar while rain is drizzling.,Water is running and a roar of thunder happens at the same time.,Thunder roars as gentle rain softly patters down.,"The wind blows through, accompanied by a rumble of thunder.",Rain drizzles while thunder echoes across the landscape.,A symphony of thunder and running water fills the air.,Winds thrash plants amidst the sound of thunder and rain.
smoking in car.wav,A person trying to use a lighter multiple times to light a cigarette and then inhaling and coughing.,After the lighter clicks and lights the cigarette the man coughs.,"Someone starts a lighter, lights a cigarette, takes a breath from the cigarette, and then coughs.","Striking the lighter, she lit the cigarette, pulled and began to cough.",The person tried a few times to light the cigarette with a lighter and he inhales and coughs.,A person struggles to ignite a cigarette using a lighter before taking a drag and coughing.,"Upon lighting the cigarette with a lighter, the individual inhales deeply and then coughs.",The attempt to light a cigarette using a lighter is followed by an inhalation and a cough.,"After several tries, she successfully lights her cigarette and immediately starts to cough from the smoke.",Using a lighter to ignite a cigarette results in deep breathing followed by a coughing fit.
Huston we have a problem (before &amp; after cleaning).wav,A female voice communicates over a static walkie-talkie.,Dispatcher and radio communication between people who are talking.,People are talking with each other using radio communication.,People are talking to each other on the radio.,Someone on the radio talking to another person.,Static-filled walkie-talkie conversation between two individuals.,Radio communication involving a dispatcher and other speakers.,Individuals converse using radio channels amidst static interference.,Dialogue occurs over a noisy radio connection between parties.,A person communicates via radio to another amid static noise.
Subping03.wav,A bell sound rings and echoes and slowly returns.,A small quiet mechanical reading or beeping similar to a radar.,A soft mechanical bleeping which is reminiscent of radar.,"A sonar sound starting off strong then fading, to begin strong again and eventually quiet down.",Sonar is activated and its audio oscillates between strong and weak signals.,"The sound of a bell rings out, echoes, then gradually diminishes.",A quiet mechanical beep resembles the sound of radar detection.,Gentle bleeps echo like distant radar signals in a soft rhythm.,Strong sonar pulses fade away and grow strong before fading softly again.,Oscillating underwater sonar emits alternating powerful and faint audio signals.
sheep on pasture.wav,A baby lamb baaing and an adult lamb baaing while walking through grass.,A human mimics a lamb as it bleats.,A lamb bleating while a human mimics it.,Sheep bleat while birds chirp in the background.,Sheep call out while birds chirp in the background.,A lamb baaing as another walks through grass.,Human mimics a bleating lamb sound.,Adult and baby lambs baa across the field.,Sheep call in the backdrop of chirping birds.,"In spring fields, sheep make their calls while birds sing."
je_footstepsCement.wav,A person walks on a scratchy surface in a frequent manner,A person wearing slides is dragging their feet while they walk.,Someone is walking down a sidewalk and dragging their feet a little bit.,Someone walking down a sidewalk and dragging their feet a little bit.,Someone walks by wearing flip flops as they clack and scrape along the sidewalk.,A person drags their feet on a rough surface while walking with flip-flops.,"Walking in sandals, someone scrapes their soles against a bumpy path.",Flip-flops make a clacking sound as someone ambles along a coarse pavement.,The sound of dragging flip-flop soles echoes over a textured sidewalk.,A person’s slides create a scratchy noise while they walk on an uneven road.
Geroezemoes.wav,"A great number of people of all sorts of ages converse with each other, including a small child.",A group of people are having breakfast together in a cafeteria.,A group of people eat breakfast together at a table in the cafeteria.,A group or crowd of people speaking and shouting.,A large of group of people composed of different ages talk to each other including a toddler.,"A diverse assembly of individuals, ranging in age, engage in conversation, with a young child present.","People from various age groups are conversing lively, including interactions involving a small child.","Voices mingle among a crowd as people, both young and old, talk animatedly, featuring a toddler.","Conversations fill the air as individuals of all ages gather, highlighted by a child’s presence.","A bustling scene with people of differing ages chatting, accompanied by a little child's chatter."
paper01.wav,A book being flipped through over and over.,A books whose page keeps being turned over.,Flipping through a book to put emphasis on the movement of the paper.,Some flipping the pages of a book with large leaves,Someone flipping the large leaf pages of a book.,Turning the pages of a thick paper volume repeatedly.,Repeatedly ruffling through the sheets of a bound document.,"Pages being shuffled in a room, emphasizing movement.",A large volume's pages are turned over and over.,Shuffling the sheets of a book with wide leaves.
0400 Traffic_police.wav,A car idling then somebody blowing a whistle while motorcycles pass by,A person blows a whistle at a busy city intersection.,A person blows a whistle at a busy intersection.,Several cars drive along a road while a police officer directs traffic.,Several cars driving on a road and a whistle is sounding.,"Traffic flows as a whistle echoes amidst city noise, with motorcycles weaving through.","In the bustling city, a whistle pierces the sound of passing cars and bikes.",A whistle is heard at an intersection filled with traffic and motorbikes.,Cars travel along a road while a whistle blends into the urban soundscape.,Traffic continues as a whistle punctuates the busy street's ambient noise.
"Crowd ambience, eating popcorn.wav","A short distance away, a group of people engage in indistinguishable chatter.","As time goes on, the bustling crowd chatter resonates.",Many people were moving and discussing inside of a large hall.,The activity of crowd chatter resonates as time goes on.,people are talking loudly in the background indistinguishably,Background buzz from a group of people fills the air with chatter.,Indistinct conversations reverberate among a bustling crowd in a hall.,A lively gathering engages in continuous murmurs and discussions.,Soundscape filled with collective whispers and talks resonate steadily.,Murmuring voices blend together as a lively crowd moves around.
"Walking in a park, on gravel (wind) - Athens National Botanical Garden.wav","A person was walking on a sidewalk adjacent to a school, where children were playing on the playground.","As the wind begins to blow, background sounds like metal clanking and children screeching arise.",From outside the laundromat someone watches the clothes go round and round in the dryer,Metal clanks as the wind blows and the voices of children are screeching way in the background.,Someone walking down a sidewalk next to a school with kids on the playground playing.,"Walking next to a school, children play on the playground as wind generates ambient noises.",Wind gusts bring metallic clanks and distant screeches of playful children in the background.,Laundromat observer listens to tumbling clothes amidst outdoor sounds of children and wind.,"The wind's metal clinks are accompanied by distant, excited cries from nearby children playing.",Sidewalk stroller hears children's laughter and wind-caused clatter while passing a schoolyard playground.
Fan_Ventilation_Stereo 4.wav,A large industrial machine was whirring inside of a room.,A large industrial machine whirring inside of a room.,A loud mechanical whir is quite muffled by a distant nature sound.,A small engine runs with a small fan of a vehicle similar to a car.,Industry equipment being utilized inside a company warehouse,A distant mechanical whirring is present in an industrial room setting.,"In a warehouse, the hum of industry equipment fills the space.",The muffled buzz from machinery blends with subtle nature noises nearby.,"Inside a building, the drone of large machinery echoes faintly.",An engine's steady sound complements distant natural ambiance softly.
Cicadas and birds in a hot summer noon.wav,Animals and insects are making their usual sounds in a meadow.,Birds chirping outside while people are talking in the background.,"In a jungle, a flock of birds chirp among the flowing river.","In the distance, different birds chirped at different times.","The jungle with a lot of birds chirping, and potentially a river or waterfall nearby.",Birdsong fills the air in a meadow where various animals and insects make their sounds.,"Conversations blend with bird chirps outside, creating an ambient outdoor atmosphere.",A river flows through the jungle while birds create a lively chorus above it.,Different bird calls resonate at varied intervals from afar in a natural setting.,"Amidst potential water sounds, numerous birds fill the jungle with their melodies."
150209 Trevor Webb Beard Trimming.wav,A hair trimmer being used to cut hair.,A pair of hair clippers is cutting through hair.,The hair of a person is being cut with a hair trimmer.,The buzz of an electric razor cutting the hair of someone.,"The buzzing of an electric razor, as someone receives a hair cut.",The hum of a hair trimmer as it cuts through locks.,An electric clipper buzzes while trimming someone's hair.,Hair is being cut with the mechanical buzz of a razor.,The sound of an electric razor clipping away at hair.,Buzzing sounds fill the air as a machine trims hair.
16_Rain_Light_Ocean_44_16.wav,A camp fire crackles as the flames burn branches and leaves.,A camp fire is crackling as it burns up branches and leaves.,A whir close by and cracking occurs because of a small fire.,A whir nearby and then cracking is apparent from a small fire.,The rain is falling and dripping without other noise.,Fire crackles as it consumes branches and leaves in the night.,The sound of burning twigs fills the air with a gentle crackle.,"Branches and leaves burn quietly, producing a rhythmic firecrackling noise.",Nearby crackling from burning foliage creates a soothing campfire ambiance.,A soft crackling echoes as flames consume leaves and small branches.
160718 HSN boy on tricycle passing by.wav,A lot of noise is coming from a factory engine.,A person shredding paper in a paper shredder.,A shredder is on and a person puts a charge card into the shredder.,Someone is playing with a remote control car,a factory engine is making a lot of noise,The sound of a factory engine producing significant noise resonates through the air.,"A paper shredder operates as someone feeds it documents, including credit cards.",The buzz of an active shredder accompanies the insertion of a plastic card.,An individual enjoys maneuvering a remote control car around playfully.,Loud rumblings emanate from a busy factory engine amidst ambient sounds.
remix of 130879__frederic-font__05-hang-song-1.wav,An upbeat melody of music is repeatedly playing.,Multiple phase music is being played with a rhythmic beat.,Music is being played with a steady beat.,Someone playing an instrument at a constant rate and tune.,an upbeat music melody is playing over and over again,"A rhythmic, looped tune with an upbeat melody plays continuously.",Upbeat music with a steady beat is being played repeatedly.,Consistent instrumental tones create a lively and looped musical experience.,Repeated phases of cheerful tunes are heard in the background.,"An ongoing melodic pattern featuring repetitive, lively beats fills the air."
2 Gardener - May 2013 - Take01 - ZOOM H2n.wav,A hand held sander was used as various speeds.,A power tool is being used to cut grass.,A weed whacker trimming edges from a lawn.,A weed whacker trims the edges of a lawn.,Someone is operating a weed eater power tool.,"A sander operates at various speeds, creating a consistent grinding noise.","Grass is being cut by a power tool, producing sharp and rhythmic sounds.",Lawn edges are neatly trimmed using a vibrating weed whacker.,The edges of the lawn are cut with a buzzing weed whacker.,"Operating a weed eater, the user maintains control over its intense vibrations."
fridaynight.wav,A siren sounds in the distance as heavy traffic rumbles by and a street performer starts playing.,Apparatus running and a melodic instrument being played in the meantime.,"Traffic roars, a distant siren sounds, and a street performer plays music.",someone is playing the trumpet as cars and people are passing by,someone is playing the trumpet while cars and people are passing by,A street musician plays amid roaring traffic and a distant siren.,Melodious sounds blend with traffic noise as a siren echoes in the distance.,"Amid bustling traffic, a street performer's music fills the air while sirens wail afar.",Street performance unfolds to the rhythm of passing vehicles and distant sirens.,A melodic trumpet plays against the backdrop of busy streets and echoing sirens.
ClockTicking.wav,A machine is making a loud clicking noise.,A pendulum moves back and forth and a pendulum ticks.,A pendulum ticks as it moves back and forth.,The machine is making a loud clicking noise.,the ticktocking of a loud clock in the foreground,A mechanical device emits a consistent ticking sound as it operates.,The rhythmic back-and-forth motion of a pendulum produces a ticking noise.,An audible clicking resonates from the machine in operation.,"A loud clock's tick-tock is distinctly heard, dominating the soundscape.",The pendulum swings while producing a steady ticking sound.
Running.wav,"Chains are rattling while a horse is moving, then a man coughs.","Slow first, then quickening, horse feet and the jangle of their harness pass along, followed by a light cough.",Someone is running with their keys just a jingling and then coughs.,"With increasing speed, the trotting of horse feet and the jangle of their equipment pass by, followed by a cough.","chains are rattling, as horse is moving, then man coughs",Chains clatter as the horse trots swiftly before a light cough echoes.,"The rhythmic jangle of harness chains accompanies a horse's gallop, then a man coughs.",Horse hooves and chain rattles blend with the sound of a nearby gentle cough.,"As the horse quickens its pace, chain sounds are followed by a brief cough.","Jangling harnesses accompany the horse’s movement, ending with a soft man's cough."
opening and closing a loft door.wav,"A man moves from the basement to upstairs, moving a heavy metal object with him.","Somebody slides open a heavy object or doorway, then continues walking.",Someone closes the garage door and then walks upstairs.,Someone slowly slides open a heavy screen door and then proceeds to walk down the hallway.,wooden rod beating sound and pushing some heavy material sound,"A person ascends with a hefty object from the basement to the upper floor, opening and closing doors along the way.",An individual opens a heavy door using a sliding motion before continuing their walk indoors.,"After securing the garage, someone proceeds upstairs, making sure everything is closed properly.",The sound of creaking accompanies someone as they slide open a hefty screen door and head down the hall.,A rhythmic tapping sound echoes as an individual exerts effort to push something heavy.
Breaking Glass .wav,"A person shatters multiple glass objects, and then bangs on things.","Breaking glass, maybe a bottle, eight pieces of window or a conservatory with repetitive strikes on the glass objective",Plates break loudly as they are dropped to the floor.,The tinkling glass sounds after bottles are thrown and broken.,the sound of glass breaking and falling onto the floor,"Loud shattering sounds as glass objects break and fall, followed by repeated banging.","Multiple pieces of glass fracture with each strike, creating a resonant noise.",A series of crashes from shattered plates and glass hitting the ground.,The tinkling aftermath of tossed bottles breaking into pieces on the floor.,Glass shattering and thudding to the floor with forceful impacts.
arsta.wav,Storm wind blows in the dense forest and makes a peaceful sound.,Storm wind blows in the dense forest very nice sound,"The wind is so strong, it is blowing at a high altitude.",Wind and rain point to signs of a hurricane.,Wind is blowing and bursting at a high altitude.,The dense forest sways with the sound of storm winds creating a tranquil atmosphere.,"In the thick woods, storm winds produce soothing ambient sounds.",High-altitude gusts create powerful wind noises in the open air.,Rain and wind together hint at an approaching hurricane's presence.,Powerful bursts of wind echo loudly from great heights above.
Dog splashing in a lake.wav,"A dog jumped into the water and swim and then came out panting, it shook its body","A dog pants, jumps in water, and shakes the water off.","A dog wearing a chain collar runs towards a pool, swims through it, and returns, then shakes the water off.","A dog with chain collar runs towards a pool, swims through and returns to shake the water off.","Jumping into the water to swim, the dog came out panting and shook his body.","A dog with a chain collar leaps into the pool, swims through, then shakes off excess water.","After swimming in water, a panting dog emerges and vigorously shakes its body to dry.","The dog, wearing a collar, runs towards water, jumps in, swims, and returns to shake off.","With excitement, the dog plunges into water, swims energetically, then shakes itself as it exits.","A dog wearing a chain collar splashes in the pool, swims, pants, and shakes off water."
20100402.Brugge.street.04.wav,A group is in a carriage that is being drawn by a horse on a paved road.,A group of people socializing and a horse trotting in the background.,A throng of people are socializing as a horse trots by in the background.,"Several people talking and laughing, with a horse passing along in the background.","Several people were talking and laughing, with a horse is passing by along in the background.",People chatting merrily while a horse-drawn carriage passes on a cobblestone street.,Laughter and conversation fill the air as a horse trots past on a paved road.,"A lively group talks, with a horse and carriage rolling by in the background.","Voices mingle cheerfully beside a trotting horse, carrying a carriage along a cobbled path.","As people engage in lively talk, a horse-drawn carriage makes its way down a street."
DOOR_sliding_fthrll.wav,A loud foot stomp interrupts the rhythmic use of the old adding machine.,A mechanical device is being rattled loose while making plastic noises and thuds.,An old adding machine clattering and a foot striking against a hard floor.,Someone closing drawers of folders being pushed back.,mechanical device being rattled lightly with plastic noises and thuds.,An old adding machine clatters as a loud foot stomp echoes on the hard floor.,Plastic sounds mix with thuds from a mechanical device being shaken lightly.,Rhythmic tapping on an adding machine is interrupted by a forceful foot stomp.,"The sound of drawers closing, paired with a rhythmic old adding machine.",Thuds and plastic noises accompany the rattling of a mechanical device in use.
20110220_river.wav,A boat rises above the large waves while a person yells something.,Background voices were present during the wind furiously and continuously rustled and blew.,It is easy to sleep when a lot of rain from a storm hits the top of a country roof.,People are floating down a river in a plastic boat while talking to each other.,Water running over a waterfall with a frog croaking in the background.,"A person shouts as a boat lifts above towering waves, while wind rustles intensely.","Amidst fierce winds and background chatter, leaves are swept away continuously.",The rhythmic sound of heavy rain hitting the roof lulls one to sleep.,Conversing companions drift down a river in a makeshift plastic boat together.,Frogs croak softly as water cascades over a waterfall's edge with a roar.
20130723_Rain1.wav,A car honks from the midst of a rainstorm.,A vehicle comes to a stop and idles with clunking sound before multiple honks and yells interfere.,Rain from a rainstorm is hitting surfaces and a car honks,Rain hitting the ground before and after two vehicles honk their horns and a man hollers in the background.,The rain is coming down hard and a horn blows in the distance.,Rain pours down as distant car horns echo through the city.,"A vehicle stalls, then honks amidst clattering noise and background shouts.",Surfaces glisten under rain as cars intermittently honk in the distance.,"Amidst a downpour, vehicles honk twice while a man yells nearby.",Heavy rain drowns out distant car horns and sporadic shouting sounds.
SFX_001.wav,Beautiful pipe organ music is played before trailing off into silence.,It is a peaceful instrumental keyboard melody with bell sounds.,"Pipe organ music, beautifully played then trails off into silence",Unknown musical tones coming from some kind of electric musical instrument.,a dull instrumental keyboard melody with bell sounds,"A tranquil pipe organ tune gently fades into silence, evoking a serene atmosphere.",Serene keyboard melody with chime-like tones creates a peaceful ambient soundscape.,Elegant pipe organ performance gradually diminishes to complete stillness in the air.,Enigmatic electronic instrument produces experimental musical notes with a gentle fade-out.,"Subdued ambient keyboard piece features melodic bell tones, ending softly."
steel water.wav,A person tapping a hollow brass bell indoors.,A person taps a brass bell while inside.,Different type of vessels are beaten with a stick to give different noise,Different type of vessels are beaten with a stick to give different noise effects.,Someone plays music on an metal musical instrument or device.,"A brass bell is tapped by someone inside, creating a resonant sound.",Someone strikes a hollow brass bell indoors for distinct sounds.,Various vessels are struck with sticks to produce unique noise effects.,"Different metal containers are hit with sticks, producing diverse noises.",Music is played on an instrument or device made of metal.
